Size,Variables,Beta,Rank,Diagonal,Density,Positive,Seed,Method,Sol,Time,Iterations 
30,1740,0.1,100,0.0,0.05,false,12345,31,17.843487297270073,63427,947
30,1740,0.1,100,0.0,0.05,false,23451,11,19.431142053623844,3881,53
30,1740,0.1,100,0.0,0.05,false,23451,21,19.431141721300143,10352,1548
30,1740,0.1,100,0.0,0.05,false,23451,31,19.43114002490197,56575,857
30,1740,0.1,100,0.0,0.05,false,34512,11,18.226919754787687,2812,31
30,1740,0.1,100,0.0,0.05,false,34512,21,18.226919717554217,5671,1301
30,1740,0.1,100,0.0,0.05,false,34512,31,18.226918242788486,65417,943
30,1740,0.1,100,0.0,0.05,false,45123,11,19.003143393013854,3742,52
30,1740,0.1,100,0.0,0.05,false,45123,21,19.003143391776668,7673,1370
30,1740,0.1,100,0.0,0.05,false,45123,31,19.003141869921944,59340,933
30,1740,0.1,100,0.0,0.05,false,51234,11,19.378319342835084,2620,30
30,1740,0.1,100,0.0,0.05,false,51234,21,19.378319327142677,5522,1567
30,1740,0.1,100,0.0,0.05,false,51234,31,19.378318675340658,54494,1008
30,1740,0.1,100,0.0,0.1,false,12345,11,18.800797643992745,4320,50
30,1740,0.1,100,0.0,0.1,false,12345,21,18.8007976447129,8322,1667
30,1740,0.1,100,0.0,0.1,false,12345,31,18.800796738557214,59524,1035
30,1740,0.1,100,0.0,0.1,false,23451,11,20.036750453187295,2362,21
30,1740,0.1,100,0.0,0.1,false,23451,21,20.036750455272387,5471,1825
30,1740,0.1,100,0.0,0.1,false,23451,31,20.036748399443184,55657,1075
30,1740,0.1,100,0.0,0.1,false,34512,11,18.99259513251716,4941,59
30,1740,0.1,100,0.0,0.1,false,34512,21,18.992595133195827,9514,1677
30,1740,0.1,100,0.0,0.1,false,34512,31,18.992592736521246,59020,1040
30,1740,0.1,100,0.0,0.1,false,45123,11,20.29355435613827,2121,17
30,1740,0.1,100,0.0,0.1,false,45123,21,20.293554355846613,4761,1810
30,1740,0.1,100,0.0,0.1,false,45123,31,20.293552337388125,60739,1054
30,1740,0.1,100,0.0,0.1,false,51234,11,19.38407845370569,3450,41
30,1740,0.1,100,0.0,0.1,false,51234,21,19.384078467296526,7671,1922
30,1740,0.1,100,0.0,0.1,false,51234,31,19.38407784216007,61467,1135
30,1740,0.1,100,0.0,0.5,false,12345,31,19.551305527716174,67792,1704
30,1740,0.1,100,0.0,0.5,false,23451,31,20.994926216103508,69193,1659
30,1740,0.1,100,0.0,0.5,false,34512,31,19.602318058442226,69370,1721
30,1740,0.1,100,0.0,0.5,false,45123,31,21.811325087027225,71031,1655
30,1740,0.1,100,0.0,0.5,false,51234,31,20.935803556421146,64820,1890
30,1740,0.1,100,0.0,1.0,false,23451,31,21.939002560441253,69270,1938
30,1740,0.1,100,0.0,1.0,false,34512,31,20.381926056117603,67139,1936
30,1740,0.1,100,0.0,1.0,false,45123,31,22.81307205944249,74061,1940
30,1740,0.1,100,0.0,1.0,false,51234,31,21.516488199640726,70310,2097
30,1740,0.1,100,0.1,0.05,false,12345,11,17.846215933528807,48728,23
30,1740,0.1,100,0.1,0.05,false,12345,21,17.84621614411607,112924,1542
30,1740,0.1,100,0.1,0.05,false,12345,31,17.846214899220463,61461,945
30,1740,0.1,100,0.1,0.05,false,23451,11,19.433547766749655,54428,27
30,1740,0.1,100,0.1,0.05,false,23451,21,19.433547158300755,123009,1645
30,1740,0.1,100,0.1,0.05,false,23451,31,19.433546886082325,56756,853
30,1740,0.1,100,0.1,0.05,false,34512,11,18.229169868374548,45704,21
30,1740,0.1,100,0.1,0.05,false,34512,21,18.22916981350905,105912,1389
30,1740,0.1,100,0.1,0.05,false,34512,31,18.229167664522834,61857,947
30,1740,0.1,100,0.1,0.05,false,45123,11,19.005456296171786,62339,35
30,1740,0.1,100,0.1,0.05,false,45123,21,19.005454459470602,140099,1442
30,1740,0.1,100,0.1,0.05,false,45123,31,19.00545437349483,58710,924
30,1740,0.1,100,0.1,0.05,false,51234,11,19.38078106844494,43235,20
30,1740,0.1,100,0.1,0.05,false,51234,21,19.380781068448076,102806,1699
30,1740,0.1,100,0.1,0.05,false,51234,31,19.380781134494317,53827,1007
30,1740,0.1,100,0.1,0.1,false,12345,11,18.802813909965913,60961,32
30,1740,0.1,100,0.1,0.1,false,12345,21,18.80281361747304,136773,1631
30,1740,0.1,100,0.1,0.1,false,12345,31,18.802812098970954,56706,1023
30,1740,0.1,100,0.1,0.1,false,23451,11,20.0387236596314,48515,23
30,1740,0.1,100,0.1,0.1,false,23451,21,20.038723633642416,114600,1921
30,1740,0.1,100,0.1,0.1,false,23451,31,20.03872133004172,56538,1067
30,1740,0.1,100,0.1,0.1,false,34512,11,18.994559200893868,49035,23
30,1740,0.1,100,0.1,0.1,false,34512,21,18.994559201039426,114774,1764
30,1740,0.1,100,0.1,0.1,false,34512,31,18.99455845053469,63056,1040
30,1740,0.1,100,0.1,0.1,false,45123,11,20.29516068481369,44782,21
30,1740,0.1,100,0.1,0.1,false,45123,21,20.295160676185258,106675,1872
30,1740,0.1,100,0.1,0.1,false,45123,31,20.29515961276408,63429,1076
30,1740,0.1,100,0.1,0.1,false,51234,11,19.3865614190987,60398,29
30,1740,0.1,100,0.1,0.1,false,51234,21,19.386561884245022,136355,2049
30,1740,0.1,100,0.1,0.1,false,51234,31,19.38655928523632,57238,1121
30,1740,0.1,100,0.1,0.5,false,12345,11,19.55496099931212,92511,45
30,1740,0.1,100,0.1,0.5,false,12345,21,19.554960997013286,271209,1837
30,1740,0.1,100,0.1,0.5,false,12345,31,19.55495927195662,66694,1699
30,1740,0.1,100,0.1,0.5,false,23451,11,20.997865577133624,89638,47
30,1740,0.1,100,0.1,0.5,false,23451,21,20.997865576697855,193171,2011
30,1740,0.1,100,0.1,0.5,false,23451,31,20.997866049845445,73526,1662
30,1740,0.1,100,0.1,0.5,false,34512,11,19.605795739679692,83479,42
30,1740,0.1,100,0.1,0.5,false,34512,21,19.605795749119668,177882,1844
30,1740,0.1,100,0.1,0.5,false,34512,31,19.60579519886679,68732,1729
30,1740,0.1,100,0.1,0.5,false,45123,11,21.81303205262937,72843,36
