Size,Variables,Beta,Rank,Diagonal,Density,Positive,Seed,Method,Sol,Time,Iterations 
20,760,0.1,100,0.1,0.1,false,12345,11,13.64132811961333,3270,17
20,760,0.1,100,0.1,0.1,false,12345,21,13.641328002223272,9392,942
20,760,0.1,100,0.1,0.1,false,12345,31,13.641327969732561,9563,407
20,760,0.1,100,1.0,0.1,false,12345,11,13.65335570784918,3170,17
20,760,0.1,100,1.0,0.1,false,12345,21,13.65335570789283,9323,953
20,760,0.1,100,1.0,0.1,false,12345,31,13.653355109573305,9444,393
20,760,0.1,100,2.0,0.1,false,12345,11,13.666538719360041,3331,18
20,760,1.0,100,0.1,0.1,false,12345,11,18.127244965916116,4931,29
20,760,1.0,100,0.1,0.1,false,12345,21,18.127244964500616,14925,2020
20,760,1.0,100,0.1,0.1,false,12345,31,18.127261959579236,9772,1005
20,760,1.0,100,1.0,0.1,false,12345,11,18.819599800311995,5271,32
20,760,1.0,100,1.0,0.1,false,12345,21,18.819599974736107,15833,2124
20,760,1.0,100,1.0,0.1,false,12345,31,18.819604444200905,9452,971
