Size,Variables,Beta,Rank,Diagonal,Density,Positive,Seed,Method,Sol,LowerBound,Time,Iterations 
20,760,0.1,100,0.1,0.1,false,12345,0,16.069132289275657,15.510383498260769,7200040,1146
20,760,0.1,100,0.1,0.1,false,12345,1,19.332090288329354,14.61224880770565,7200010,512
20,760,0.1,100,0.1,0.1,false,12345,2,16.06913228927565,15.613894857812857,7200027,84441
20,760,0.1,100,0.1,0.1,false,12345,3,16.06913228927566,16.06913228927566,2968918,2379
20,760,0.1,100,0.1,0.1,false,12345,4,16.069132314077756,16.069132314077756,5854442,2123
20,760,0.1,100,1.0,0.1,false,12345,0,16.086143188410144,15.944100987820885,7200043,65167
20,760,0.1,100,1.0,0.1,false,12345,1,17.66509499895281,14.59683404545776,7200165,514
20,760,0.1,100,1.0,0.1,false,12345,2,16.08614318841014,15.640905596234404,7200029,76897
20,760,0.1,100,1.0,0.1,false,12345,3,16.08614318841015,16.08614318841015,2872023,2317
20,760,0.1,100,1.0,0.1,false,12345,4,16.086143234615115,16.086143234615115,6539477,2443
20,760,0.1,100,2.0,0.1,false,12345,0,16.158203935729283,15.354928368102733,7200009,1091
20,760,1.0,100,0.1,0.1,false,12345,0,50.83836118112542,27.30390508470457,7200033,1611
20,760,1.0,100,0.1,0.1,false,12345,1,59.59989930047162,23.57288921731756,7200014,542
20,760,1.0,100,0.1,0.1,false,12345,2,56.929160512499834,22.38121578573903,7200033,46813
20,760,1.0,100,0.1,0.1,false,12345,3,Infinity,38.075070935731475,7200140,8767
20,760,1.0,100,0.1,0.1,false,12345,4,Infinity,34.53853751330821,7201555,2289
20,760,1.0,100,1.0,0.1,false,12345,0,47.975241898260556,28.25631583754751,7200001,1642
20,760,1.0,100,1.0,0.1,false,12345,1,67.04503236918185,23.46828706486538,7200023,483
20,760,1.0,100,1.0,0.1,false,12345,2,59.158373248071136,22.35281364892404,7200027,44123
20,760,1.0,100,1.0,0.1,false,12345,3,Infinity,38.364289995093394,7200214,8788
20,760,1.0,100,1.0,0.1,false,12345,4,Infinity,35.27528099430792,7200478,2686
20,760,0.1,100,0.1,0.1,false,12345,3,16.06913228927566,16.06913228927566,3234735,2627
20,760,0.1,100,0.1,0.1,false,12345,4,16.069132314077756,16.069132314077756,5908926,2153
20,760,0.1,100,1.0,0.1,false,12345,3,16.08614318841015,16.08614318841015,3114787,2562
20,760,0.1,100,1.0,0.1,false,12345,4,16.086143234614756,16.086143234614756,6669091,2504
20,760,1.0,100,0.1,0.1,false,12345,3,48.34661252665302,33.78370391288988,7200598,9752
20,760,1.0,100,0.1,0.1,false,12345,4,50.07070332281802,30.131154073582707,7200696,2934
20,760,1.0,100,1.0,0.1,false,12345,3,48.949366240000316,34.06639095888289,7200033,9844
20,760,1.0,100,1.0,0.1,false,12345,4,51.720465547580446,30.679693961558304,7201596,3223
