Size,Variables,Beta,Seed,Q,Abs,Method,Sol,Time,Iterations 
30,1740,0.5,12345,-5,false,0,1175.6717836594341,54736,18
30,1740,0.5,12345,-5,false,2,1175.6717259868058,122946,22
30,1740,0.5,12345,-5,false,4,1175.671725146475,1040,669
30,1740,0.5,12345,-5,false,6,1175.671725146475,490,758
30,1740,0.5,12345,-5,false,8,1175.671725146475,5842,3379
30,1740,0.5,12345,-5,true,0,1175.8155296087332,67918,19
30,1740,0.5,12345,-5,true,2,1175.8155059221303,134862,21
30,1740,0.5,12345,-5,true,4,1175.815505222709,1490,669
30,1740,0.5,12345,-5,true,6,1175.815505222709,644,758
30,1740,0.5,12345,-5,true,8,1175.815505222709,5572,3333
30,1740,0.5,12345,-4,false,0,5065.120027840564,76731,16
30,1740,0.5,12345,-4,false,2,5065.119851863498,138992,22
30,1740,0.5,12345,-4,false,4,5065.1198499330885,1443,595
30,1740,0.5,12345,-4,false,6,5065.11984993309,650,716
30,1740,0.5,12345,-4,false,8,5065.11984993309,28070,3410
30,1740,0.5,12345,-4,true,0,5065.516142594453,51984,17
30,1740,0.5,12345,-4,true,2,5065.515955140545,139398,22
30,1740,0.5,12345,-4,true,4,5065.515952447584,1600,595
30,1740,0.5,12345,-4,true,6,5065.515952447586,866,716
30,1740,0.5,12345,-4,true,8,5065.515952447586,30806,3463
30,1740,0.5,12345,-3,false,0,24625.084844732555,72879,20
30,1740,0.5,12345,-3,false,2,24625.084247755833,188904,27
30,1740,0.5,12345,-3,false,4,24625.084229066884,2222,600
30,1740,0.5,12345,-3,false,6,24625.08422906689,5044,605
30,1740,0.5,12345,-3,false,8,24625.08422906689,33571,3339
30,1740,0.5,12345,-3,true,0,24626.035593264813,67550,21
30,1740,0.5,12345,-3,true,2,24626.03490850559,216615,28
30,1740,0.5,12345,-3,true,4,24626.03490029623,1981,600
30,1740,0.5,12345,-3,true,6,24626.034900296236,3138,605
30,1740,0.5,12345,-3,true,8,24626.034900296236,38786,3441
30,1740,0.5,12345,-2,false,0,46634.51133784127,60893,24
30,1740,0.5,12345,-2,false,2,46634.50916325931,92525,20
30,1740,0.5,12345,-2,false,4,46634.50915261125,2590,566
30,1740,0.5,12345,-2,false,6,46634.50915261127,6934,633
30,1740,0.5,12345,-2,false,8,46634.50915261127,35469,3525
30,1740,0.5,12345,-2,true,0,46635.777373470424,57688,24
30,1740,0.5,12345,-2,true,2,46635.77517460566,104069,20
30,1740,0.5,12345,-2,true,4,46635.77513461901,3032,566
30,1740,0.5,12345,-2,true,6,46635.77513461903,6306,633
30,1740,0.5,12345,-2,true,8,46635.77513461903,33752,3573
30,1740,0.5,12345,-1,false,0,14.18764029570805,130,19
30,1740,0.5,12345,-1,false,2,14.187638486426264,340,28
30,1740,0.5,12345,-1,false,4,14.187640525559996,220,634
30,1740,0.5,12345,-1,false,6,14.18763852610948,150,846
30,1740,0.5,12345,-1,false,8,14.187673496608506,470,3287
30,1740,0.5,12345,-1,true,0,14.18764029570805,140,19
30,1740,0.5,12345,-1,true,2,14.187638486426264,360,28
30,1740,0.5,12345,-1,true,4,14.187640525559996,190,634
30,1740,0.5,12345,-1,true,6,14.18763852610948,140,846
30,1740,0.5,12345,-1,true,8,14.187673496608506,490,3287
30,1740,0.5,23451,-5,false,0,1077.6513429747836,35732,15
30,1740,0.5,23451,-5,false,2,1077.651294925574,113667,28
30,1740,0.5,23451,-5,false,4,1077.6513466695292,37052,675
30,1740,0.5,23451,-5,false,6,1077.6512945696945,570,728
30,1740,0.5,23451,-5,false,8,1077.6616055932848,5101,3358
30,1740,0.5,23451,-5,true,0,1077.7819430940037,36249,16
30,1740,0.5,23451,-5,true,2,1077.7819293328037,116593,29
30,1740,0.5,23451,-5,true,4,1077.7819441817765,36798,674
30,1740,0.5,23451,-5,true,6,1077.7819286244583,600,728
30,1740,0.5,23451,-5,true,8,1077.7915492824475,4592,3402
30,1740,0.5,23451,-4,false,0,5226.261653245104,49892,16
30,1740,0.5,23451,-4,false,2,5226.261592904695,132255,22
30,1740,0.5,23451,-4,false,4,5226.2615920067565,1600,628
30,1740,0.5,23451,-4,false,6,5226.2615920067565,702,733
30,1740,0.5,23451,-4,false,8,5226.2615920067565,25699,3465
30,1740,0.5,23451,-4,true,0,5226.687786012408,55106,18
30,1740,0.5,23451,-4,true,2,5226.687741602991,126059,21
30,1740,0.5,23451,-4,true,4,5226.687740531976,1560,628
30,1740,0.5,23451,-4,true,6,5226.6877405319765,620,733
30,1740,0.5,23451,-4,true,8,5226.6877405319765,28459,3523
30,1740,0.5,23451,-3,false,0,28802.652666455066,58157,16
30,1740,0.5,23451,-3,false,2,28802.651539337276,145142,23
30,1740,0.5,23451,-3,false,4,28802.65152649351,2110,663
30,1740,0.5,23451,-3,false,6,28802.651526493508,2932,720
30,1740,0.5,23451,-3,false,8,28802.651526493508,27624,3486
30,1740,0.5,23451,-3,true,0,28803.58000342792,56768,16
30,1740,0.5,23451,-3,true,2,28803.57952388456,142027,23
30,1740,0.5,23451,-3,true,4,28803.579516229704,2031,663
30,1740,0.5,23451,-3,true,6,28803.5795162297,3442,720
30,1740,0.5,23451,-3,true,8,28803.5795162297,31373,3534
30,1740,0.5,23451,-2,false,0,56499.21101155249,53445,24
30,1740,0.5,23451,-2,false,2,56499.207948158255,114003,28
30,1740,0.5,23451,-2,false,4,56499.207936095154,2590,629
30,1740,0.5,23451,-2,false,6,56499.20793609517,5970,617
30,1740,0.5,23451,-2,false,8,56499.20793609517,38165,3571
30,1740,0.5,23451,-2,true,0,56500.496651833775,55835,24
30,1740,0.5,23451,-2,true,2,56500.49356914962,115811,26
30,1740,0.5,23451,-2,true,4,56500.493548150094,2560,629
30,1740,0.5,23451,-2,true,6,56500.49354815011,6485,617
30,1740,0.5,23451,-2,true,8,56500.49354815011,36577,3591
30,1740,0.5,23451,-1,false,0,17.74465592974668,240,26
30,1740,0.5,23451,-1,false,2,17.74465481475407,350,29
30,1740,0.5,23451,-1,false,4,17.7446554214253,1392,990
30,1740,0.5,23451,-1,false,6,17.744658481445455,120,709
30,1740,0.5,23451,-1,false,8,17.744662736724298,500,3180
30,1740,0.5,23451,-1,true,0,17.74465592974668,220,26
30,1740,0.5,23451,-1,true,2,17.74465481475407,350,29
30,1740,0.5,23451,-1,true,4,17.7446554214253,1030,990
30,1740,0.5,23451,-1,true,6,17.744658481445455,130,709
30,1740,0.5,23451,-1,true,8,17.744662736724298,501,3180
30,1740,0.5,34512,-5,false,0,1075.6113090887716,53105,25
30,1740,0.5,34512,-5,false,2,1075.6112758501772,95868,23
30,1740,0.5,34512,-5,false,4,1075.61133610847,54140,657
30,1740,0.5,34512,-5,false,6,1075.611275357786,510,823
30,1740,0.5,34512,-5,false,8,1075.6131315723858,5087,3582
30,1740,0.5,34512,-5,true,0,1075.7520388143994,55299,26
30,1740,0.5,34512,-5,true,2,1075.7519844351157,101645,25
30,1740,0.5,34512,-5,true,4,1075.7520156418666,55055,658
30,1740,0.5,34512,-5,true,6,1075.751984245821,560,823
30,1740,0.5,34512,-5,true,8,1075.7536950064637,4732,3436
30,1740,0.5,34512,-4,false,0,5779.163152899466,68588,24
30,1740,0.5,34512,-4,false,2,5779.162946617216,104373,17
30,1740,0.5,34512,-4,false,4,5779.162942985695,1600,738
30,1740,0.5,34512,-4,false,6,5779.162942985693,630,804
